Domain,HTTP Code,Description,Protocol Version,Server,Redirect URI,Redirect Domain
511.ky.gov,200,OK,1.1,Microsoft-IIS/8.5,http://511.ky.gov/,511.ky.gov
911board.ky.gov,200,OK,1.1,,https://911board.ky.gov/Pages/index.aspx,911board.ky.gov
aba.ky.gov,200,OK,1.1,Microsoft-IIS/7.5,http://aba.ky.gov/Pages/default.aspx,aba.ky.gov
abc.ky.gov,200,OK,1.1,,https://abc.ky.gov/Pages/index.aspx,abc.ky.gov
abcdev.ky.gov,,,,,,
abc-training.ky.gov,200,OK,1.1,,https://abc-training.ky.gov/s/,abc-training.ky.gov
accessgold.ky.gov,408,The operation has timed out.,,,,
ada.ky.gov,200,OK,1.1,Microsoft-IIS/8.0,https://personnel.ky.gov/Pages/ada.aspx,personnel.ky.gov
adaircounty.ky.gov,200,OK,1.1,Apache,http://adaircounty.ky.gov/,adaircounty.ky.gov
adc.ky.gov,200,OK,1.1,Microsoft-IIS/7.5,http://adc.ky.gov/Pages/default.aspx,adc.ky.gov
adfs.kyret.ky.gov,408,The operation has timed out.,,,,
adhoc.dbhdidtest.ky.gov,200,OK,1.1,Microsoft-IIS/10.0,https://adhoc.dbhdidtest.ky.gov/Account/Login.aspx,adhoc.dbhdidtest.ky.gov
adm.ky.gov,200,OK,1.1,Apache,http://adm.ky.gov/,adm.ky.gov
admin.sims.cot.ky.gov,408,The operation has timed out.,,,,
admin.uat.wraps.dor.ky.gov,200,OK,1.1,Microsoft-IIS/10.0,http://admin.uat.wraps.dor.ky.gov/,admin.uat.wraps.dor.ky.gov
adopt.ky.gov,200,OK,1.1,Microsoft-IIS/7.5,https://prdweb.chfs.ky.gov/kyfaces,prdweb.chfs.ky.gov
adopt-a-highway.ky.gov,200,OK,1.1,Microsoft-IIS/8.5,http://adopt-a-highway.ky.gov/,adopt-a-highway.ky.gov
aerin.ky.gov,408,The operation has timed out.,,,,
ag.ky.gov,200,OK,1.1,,https://ag.ky.gov/Pages/default.aspx,ag.ky.gov
ag-edit.ky.gov,408,The operation has timed out.,,,,
agency.onestop.efile.ky.gov,408,The operation has timed out.,,,,
agency.onestop.registration.ky.gov,200,OK,1.1,Microsoft-IIS/8.5,http://agency.onestop.registration.ky.gov/,agency.onestop.registration.ky.gov
agency.taxregistrationservices.ky.gov,408,The operation has timed out.,,,,
ag-energy.ky.gov,200,OK,1.1,,https://agpolicy.ky.gov/energy/Pages/default.aspx,agpolicy.ky.gov
agexc14.eas.ds.ky.gov,,,,,,
agis101.frankfort.ky.gov,408,The operation has timed out.,,,,
agmail.ky.gov,408,The operation has timed out.,,,,
ago.ky.gov,408,The operation has timed out.,,,,
agpolicy.ky.gov,200,OK,1.1,,https://agpolicy.ky.gov/Pages/default.aspx,agpolicy.ky.gov
agpolicy-edit.ky.gov,408,The operation has timed out.,,,,
